year,GEOID,variable,renter_occ_units
2012,10001,B25032_013,7910
2013,10001,B25032_013,8017
2014,10001,B25032_013,8114
2015,10001,B25032_013,8478
2016,10001,B25032_013,8735
2017,10001,B25032_013,8868
2018,10001,B25032_013,9178
2019,10001,B25032_013,9712
2020,10001,B25032_013,9711
2021,10001,B25032_013,10493
2012,10002,B25032_013,27955
2013,10002,B25032_013,28106
2014,10002,B25032_013,28180
2015,10002,B25032_013,28824
2016,10002,B25032_013,28726
2017,10002,B25032_013,28951
2018,10002,B25032_013,29070
2019,10002,B25032_013,28933
2020,10002,B25032_013,28895
2021,10002,B25032_013,28887
2012,10003,B25032_013,19217
2013,10003,B25032_013,19147
2014,10003,B25032_013,19027
2015,10003,B25032_013,19277
2016,10003,B25032_013,18966
2017,10003,B25032_013,17979
2018,10003,B25032_013,17519
2019,10003,B25032_013,17598
2020,10003,B25032_013,16470
2021,10003,B25032_013,15936
2012,10004,B25032_013,1033
2013,10004,B25032_013,1069
2014,10004,B25032_013,1118
2015,10004,B25032_013,1087
2016,10004,B25032_013,1162
2017,10004,B25032_013,1113
2018,10004,B25032_013,1024
2019,10004,B25032_013,1104
2020,10004,B25032_013,1125
2021,10004,B25032_013,1249
2012,10005,B25032_013,2790
2013,10005,B25032_013,3165
2014,10005,B25032_013,3556
2015,10005,B25032_013,3590
2016,10005,B25032_013,3546
2017,10005,B25032_013,3461
2018,10005,B25032_013,3515
2019,10005,B25032_013,3444
2020,10005,B25032_013,3914
2021,10005,B25032_013,3987
2012,10006,B25032_013,1473
2013,10006,B25032_013,1430
2014,10006,B25032_013,1565
2015,10006,B25032_013,1583
2016,10006,B25032_013,1543
2017,10006,B25032_013,1577
2018,10006,B25032_013,1488
2019,10006,B25032_013,1330
2020,10006,B25032_013,1464
2021,10006,B25032_013,1643
2012,10007,B25032_013,1740
2013,10007,B25032_013,1700
2014,10007,B25032_013,1645
2015,10007,B25032_013,1726
2016,10007,B25032_013,1734
2017,10007,B25032_013,1674
2018,10007,B25032_013,1763
2019,10007,B25032_013,1792
2020,10007,B25032_013,1943
2021,10007,B25032_013,2228
2012,10009,B25032_013,27441
2013,10009,B25032_013,27239
2014,10009,B25032_013,27507
2015,10009,B25032_013,27731
2016,10009,B25032_013,28036
2017,10009,B25032_013,27614
2018,10009,B25032_013,27846
2019,10009,B25032_013,27927
2020,10009,B25032_013,27187
2021,10009,B25032_013,26642
2012,10010,B25032_013,11745
2013,10010,B25032_013,11998
2014,10010,B25032_013,12196
2015,10010,B25032_013,11964
2016,10010,B25032_013,11656
2017,10010,B25032_013,11370
2018,10010,B25032_013,11739
2019,10010,B25032_013,11630
2020,10010,B25032_013,11500
2021,10010,B25032_013,11323
2012,10011,B25032_013,19607
2013,10011,B25032_013,19230
2014,10011,B25032_013,19827
2015,10011,B25032_013,19468
2016,10011,B25032_013,18521
2017,10011,B25032_013,18247
2018,10011,B25032_013,18181
2019,10011,B25032_013,17882
2020,10011,B25032_013,17680
2021,10011,B25032_013,18205
2012,10012,B25032_013,10482
2013,10012,B25032_013,10832
2014,10012,B25032_013,10712
2015,10012,B25032_013,10397
2016,10012,B25032_013,10255
2017,10012,B25032_013,10148
2018,10012,B25032_013,9870
2019,10012,B25032_013,9929
2020,10012,B25032_013,10324
2021,10012,B25032_013,9605
2012,10013,B25032_013,7995
2013,10013,B25032_013,7893
2014,10013,B25032_013,8194
2015,10013,B25032_013,8231
2016,10013,B25032_013,8630
2017,10013,B25032_013,8867
2018,10013,B25032_013,8848
2019,10013,B25032_013,8828
2020,10013,B25032_013,8989
2021,10013,B25032_013,8777
2012,10014,B25032_013,13318
2013,10014,B25032_013,13279
2014,10014,B25032_013,13440
2015,10014,B25032_013,12889
2016,10014,B25032_013,12830
2017,10014,B25032_013,12540
2018,10014,B25032_013,12316
2019,10014,B25032_013,12308
2020,10014,B25032_013,12211
2021,10014,B25032_013,12443
2012,10016,B25032_013,20542
2013,10016,B25032_013,19781
2014,10016,B25032_013,19747
2015,10016,B25032_013,19782
2016,10016,B25032_013,20503
2017,10016,B25032_013,20658
2018,10016,B25032_013,20597
2019,10016,B25032_013,20627
2020,10016,B25032_013,21322
2021,10016,B25032_013,21657
2012,10017,B25032_013,6656
2013,10017,B25032_013,6582
2014,10017,B25032_013,6773
2015,10017,B25032_013,6417
2016,10017,B25032_013,6176
2017,10017,B25032_013,5657
2018,10017,B25032_013,5585
2019,10017,B25032_013,5576
2020,10017,B25032_013,6301
2021,10017,B25032_013,6461
2012,10018,B25032_013,2717
2013,10018,B25032_013,3164
2014,10018,B25032_013,3686
2015,10018,B25032_013,4261
2016,10018,B25032_013,4554
2017,10018,B25032_013,4586
2018,10018,B25032_013,4633
2019,10018,B25032_013,4202
2020,10018,B25032_013,3755
2021,10018,B25032_013,3902
2012,10019,B25032_013,19473
2013,10019,B25032_013,18873
2014,10019,B25032_013,19265
2015,10019,B25032_013,18898
2016,10019,B25032_013,19281
2017,10019,B25032_013,19839
2018,10019,B25032_013,20364
2019,10019,B25032_013,20532
2020,10019,B25032_013,21109
2021,10019,B25032_013,20387
2012,10020,B25032_013,0
2013,10020,B25032_013,0
2014,10020,B25032_013,0
2015,10020,B25032_013,0
2016,10020,B25032_013,0
2017,10020,B25032_013,0
2018,10020,B25032_013,0
2019,10020,B25032_013,0
2020,10020,B25032_013,0
2021,10020,B25032_013,0
2012,10021,B25032_013,14082
2013,10021,B25032_013,14034
2014,10021,B25032_013,14128
2015,10021,B25032_013,14430
2016,10021,B25032_013,14399
2017,10021,B25032_013,13909
2018,10021,B25032_013,13744
2019,10021,B25032_013,13627
2020,10021,B25032_013,11931
2021,10021,B25032_013,11617
2012,10022,B25032_013,9405
2013,10022,B25032_013,9527
2014,10022,B25032_013,9149
2015,10022,B25032_013,9198
2016,10022,B25032_013,8794
2017,10022,B25032_013,8759
2018,10022,B25032_013,8595
2019,10022,B25032_013,9109
2020,10022,B25032_013,9201
2021,10022,B25032_013,9305
2012,10023,B25032_013,20248
2013,10023,B25032_013,20437
2014,10023,B25032_013,19329
2015,10023,B25032_013,19856
2016,10023,B25032_013,19627
2017,10023,B25032_013,19169
2018,10023,B25032_013,19610
2019,10023,B25032_013,20922
2020,10023,B25032_013,20426
2021,10023,B25032_013,21960
2012,10024,B25032_013,19078
2013,10024,B25032_013,18627
2014,10024,B25032_013,18684
2015,10024,B25032_013,18378
2016,10024,B25032_013,18418
2017,10024,B25032_013,17319
2018,10024,B25032_013,17408
2019,10024,B25032_013,16736
2020,10024,B25032_013,18048
2021,10024,B25032_013,18209
2012,10025,B25032_013,34170
2013,10025,B25032_013,33501
2014,10025,B25032_013,33778
2015,10025,B25032_013,32975
2016,10025,B25032_013,31724
2017,10025,B25032_013,30676
2018,10025,B25032_013,29897
2019,10025,B25032_013,29612
2020,10025,B25032_013,27657
2021,10025,B25032_013,28053
2012,10026,B25032_013,11650
2013,10026,B25032_013,11448
2014,10026,B25032_013,11769
2015,10026,B25032_013,11973
2016,10026,B25032_013,12103
2017,10026,B25032_013,12556
2018,10026,B25032_013,13106
2019,10026,B25032_013,12779
2020,10026,B25032_013,12427
2021,10026,B25032_013,11957
2012,10027,B25032_013,19982
2013,10027,B25032_013,19660
2014,10027,B25032_013,19840
2015,10027,B25032_013,19698
2016,10027,B25032_013,19818
2017,10027,B25032_013,20254
2018,10027,B25032_013,20574
2019,10027,B25032_013,20724
2020,10027,B25032_013,20697
2021,10027,B25032_013,20389
2012,10028,B25032_013,16592
2013,10028,B25032_013,16501
2014,10028,B25032_013,17050
2015,10028,B25032_013,16777
2016,10028,B25032_013,17577
2017,10028,B25032_013,17478
2018,10028,B25032_013,16595
2019,10028,B25032_013,16266
2020,10028,B25032_013,16564
2021,10028,B25032_013,16252
2012,10029,B25032_013,27442
2013,10029,B25032_013,26850
2014,10029,B25032_013,27473
2015,10029,B25032_013,28248
2016,10029,B25032_013,28645
2017,10029,B25032_013,29532
2018,10029,B25032_013,29541
2019,10029,B25032_013,29286
2020,10029,B25032_013,29349
2021,10029,B25032_013,30666
2012,10030,B25032_013,10704
2013,10030,B25032_013,10141
2014,10030,B25032_013,10739
2015,10030,B25032_013,10646
2016,10030,B25032_013,10789
2017,10030,B25032_013,10884
2018,10030,B25032_013,11265
2019,10030,B25032_013,11200
2020,10030,B25032_013,11069
2021,10030,B25032_013,11196
2012,10031,B25032_013,18618
2013,10031,B25032_013,18473
2014,10031,B25032_013,18858
2015,10031,B25032_013,18986
2016,10031,B25032_013,19372
2017,10031,B25032_013,19612
2018,10031,B25032_013,19225
2019,10031,B25032_013,18823
2020,10031,B25032_013,18852
2021,10031,B25032_013,18654
2012,10032,B25032_013,18432
2013,10032,B25032_013,18053
2014,10032,B25032_013,18373
2015,10032,B25032_013,18891
2016,10032,B25032_013,18723
2017,10032,B25032_013,19150
2018,10032,B25032_013,19480
2019,10032,B25032_013,19276
2020,10032,B25032_013,19701
2021,10032,B25032_013,19855
2012,10033,B25032_013,17265
2013,10033,B25032_013,17052
2014,10033,B25032_013,17540
2015,10033,B25032_013,17545
2016,10033,B25032_013,17331
2017,10033,B25032_013,17546
2018,10033,B25032_013,17598
2019,10033,B25032_013,17618
2020,10033,B25032_013,17223
2021,10033,B25032_013,17351
2012,10034,B25032_013,13699
2013,10034,B25032_013,13626
2014,10034,B25032_013,13882
2015,10034,B25032_013,14066
2016,10034,B25032_013,14506
2017,10034,B25032_013,14712
2018,10034,B25032_013,14595
2019,10034,B25032_013,14633
2020,10034,B25032_013,14406
2021,10034,B25032_013,14299
2012,10035,B25032_013,11243
2013,10035,B25032_013,11419
2014,10035,B25032_013,12053
2015,10035,B25032_013,11929
2016,10035,B25032_013,12313
2017,10035,B25032_013,12946
2018,10035,B25032_013,13237
2019,10035,B25032_013,13411
2020,10035,B25032_013,13514
2021,10035,B25032_013,12961
2012,10036,B25032_013,12330
2013,10036,B25032_013,12613
2014,10036,B25032_013,13042
2015,10036,B25032_013,13842
2016,10036,B25032_013,13954
2017,10036,B25032_013,14058
2018,10036,B25032_013,14618
2019,10036,B25032_013,15831
2020,10036,B25032_013,15934
2021,10036,B25032_013,16943
2012,10037,B25032_013,7714
2013,10037,B25032_013,7774
2014,10037,B25032_013,8306
2015,10037,B25032_013,8477
2016,10037,B25032_013,8754
2017,10037,B25032_013,9083
2018,10037,B25032_013,9246
2019,10037,B25032_013,9032
2020,10037,B25032_013,9298
2021,10037,B25032_013,9305
2012,10038,B25032_013,6836
2013,10038,B25032_013,6972
2014,10038,B25032_013,7171
2015,10038,B25032_013,7249
2016,10038,B25032_013,7396
2017,10038,B25032_013,7444
2018,10038,B25032_013,7478
2019,10038,B25032_013,7747
2020,10038,B25032_013,8049
2021,10038,B25032_013,7495
2012,10039,B25032_013,8615
2013,10039,B25032_013,9042
2014,10039,B25032_013,8924
2015,10039,B25032_013,9276
2016,10039,B25032_013,9518
2017,10039,B25032_013,9719
2018,10039,B25032_013,9695
2019,10039,B25032_013,9761
2020,10039,B25032_013,9727
2021,10039,B25032_013,9733
2012,10040,B25032_013,14241
2013,10040,B25032_013,14071
2014,10040,B25032_013,14290
2015,10040,B25032_013,14457
2016,10040,B25032_013,14426
2017,10040,B25032_013,14612
2018,10040,B25032_013,14502
2019,10040,B25032_013,14689
2020,10040,B25032_013,14092
2021,10040,B25032_013,14366
2012,10044,B25032_013,3835
2013,10044,B25032_013,4017
2014,10044,B25032_013,4187
2015,10044,B25032_013,4056
2016,10044,B25032_013,4013
2017,10044,B25032_013,3878
2018,10044,B25032_013,3812
2019,10044,B25032_013,3675
2020,10044,B25032_013,3754
2021,10044,B25032_013,3786
2012,10065,B25032_013,12640
2013,10065,B25032_013,12393
2014,10065,B25032_013,11966
2015,10065,B25032_013,11008
2016,10065,B25032_013,10729
2017,10065,B25032_013,10204
2018,10065,B25032_013,9479
2019,10065,B25032_013,9936
2020,10065,B25032_013,10715
2021,10065,B25032_013,11056
2012,10115,B25032_013,0
2013,10115,B25032_013,0
2014,10115,B25032_013,0
2015,10115,B25032_013,0
2016,10115,B25032_013,0
2017,10115,B25032_013,0
2018,10115,B25032_013,0
2019,10115,B25032_013,0
2020,10115,B25032_013,0
2021,10115,B25032_013,0
2012,10119,B25032_013,0
2013,10119,B25032_013,0
2014,10119,B25032_013,0
2015,10119,B25032_013,0
2016,10119,B25032_013,0
2017,10119,B25032_013,0
2018,10119,B25032_013,0
2019,10119,B25032_013,0
2020,10119,B25032_013,0
2021,10119,B25032_013,0
2012,10128,B25032_013,21968
2013,10128,B25032_013,22031
2014,10128,B25032_013,22321
2015,10128,B25032_013,22018
2016,10128,B25032_013,21899
2017,10128,B25032_013,21227
2018,10128,B25032_013,20562
2019,10128,B25032_013,20087
2020,10128,B25032_013,20473
2021,10128,B25032_013,20058
2012,10154,B25032_013,0
2013,10154,B25032_013,0
2014,10154,B25032_013,0
2015,10154,B25032_013,0
2016,10154,B25032_013,0
2017,10154,B25032_013,0
2018,10154,B25032_013,0
2019,10154,B25032_013,0
2020,10154,B25032_013,0
2021,10154,B25032_013,0
2012,10278,B25032_013,0
2013,10278,B25032_013,0
2014,10278,B25032_013,0
2015,10278,B25032_013,0
2016,10278,B25032_013,0
2017,10278,B25032_013,0
2018,10278,B25032_013,0
2019,10278,B25032_013,0
2020,10278,B25032_013,0
2021,10278,B25032_013,0
2012,10280,B25032_013,3019
2013,10280,B25032_013,3123
2014,10280,B25032_013,3245
2015,10280,B25032_013,3473
2016,10280,B25032_013,3668
2017,10280,B25032_013,3369
2018,10280,B25032_013,3327
2019,10280,B25032_013,3148
2020,10280,B25032_013,3307
2021,10280,B25032_013,2905
2012,10301,B25032_013,8134
2013,10301,B25032_013,7994
2014,10301,B25032_013,7931
2015,10301,B25032_013,7811
2016,10301,B25032_013,8030
2017,10301,B25032_013,8011
2018,10301,B25032_013,7902
2019,10301,B25032_013,7837
2020,10301,B25032_013,8129
2021,10301,B25032_013,7765
2012,10302,B25032_013,2503
2013,10302,B25032_013,2518
2014,10302,B25032_013,2538
2015,10302,B25032_013,2549
2016,10302,B25032_013,2672
2017,10302,B25032_013,2754
2018,10302,B25032_013,2533
2019,10302,B25032_013,2670
2020,10302,B25032_013,2553
2021,10302,B25032_013,2407
2012,10303,B25032_013,3270
2013,10303,B25032_013,3379
2014,10303,B25032_013,3156
2015,10303,B25032_013,3378
2016,10303,B25032_013,3246
2017,10303,B25032_013,3353
2018,10303,B25032_013,3202
2019,10303,B25032_013,3225
2020,10303,B25032_013,3218
2021,10303,B25032_013,3194
2012,10304,B25032_013,6864
2013,10304,B25032_013,6942
2014,10304,B25032_013,6821
2015,10304,B25032_013,6829
2016,10304,B25032_013,7009
2017,10304,B25032_013,6657
2018,10304,B25032_013,6731
2019,10304,B25032_013,7462
2020,10304,B25032_013,7254
2021,10304,B25032_013,7816
2012,10305,B25032_013,5123
2013,10305,B25032_013,5064
2014,10305,B25032_013,5035
2015,10305,B25032_013,5118
2016,10305,B25032_013,4964
2017,10305,B25032_013,4965
2018,10305,B25032_013,4992
2019,10305,B25032_013,4908
2020,10305,B25032_013,4931
2021,10305,B25032_013,5437
2012,10306,B25032_013,5604
2013,10306,B25032_013,5775
2014,10306,B25032_013,5695
2015,10306,B25032_013,5792
2016,10306,B25032_013,5904
2017,10306,B25032_013,5894
2018,10306,B25032_013,5824
2019,10306,B25032_013,6017
2020,10306,B25032_013,5952
2021,10306,B25032_013,5656
2012,10307,B25032_013,1003
2013,10307,B25032_013,1060
2014,10307,B25032_013,944
2015,10307,B25032_013,1143
2016,10307,B25032_013,1245
2017,10307,B25032_013,1259
2018,10307,B25032_013,1276
2019,10307,B25032_013,1253
2020,10307,B25032_013,1068
2021,10307,B25032_013,1114
2012,10309,B25032_013,2038
2013,10309,B25032_013,2214
2014,10309,B25032_013,2442
2015,10309,B25032_013,2306
2016,10309,B25032_013,1919
2017,10309,B25032_013,1648
2018,10309,B25032_013,1623
2019,10309,B25032_013,1486
2020,10309,B25032_013,2062
2021,10309,B25032_013,2195
2012,10310,B25032_013,3336
2013,10310,B25032_013,3279
2014,10310,B25032_013,3362
2015,10310,B25032_013,3265
2016,10310,B25032_013,3193
2017,10310,B25032_013,3148
2018,10310,B25032_013,3233
2019,10310,B25032_013,3517
2020,10310,B25032_013,3481
2021,10310,B25032_013,3480
2012,10312,B25032_013,3326
2013,10312,B25032_013,3384
2014,10312,B25032_013,3476
2015,10312,B25032_013,3512
2016,10312,B25032_013,3343
2017,10312,B25032_013,3007
2018,10312,B25032_013,3136
2019,10312,B25032_013,3220
2020,10312,B25032_013,3577
2021,10312,B25032_013,3838
2012,10314,B25032_013,7799
2013,10314,B25032_013,8314
2014,10314,B25032_013,8267
2015,10314,B25032_013,8328
2016,10314,B25032_013,8289
2017,10314,B25032_013,8200
2018,10314,B25032_013,8039
2019,10314,B25032_013,7490
2020,10314,B25032_013,8079
2021,10314,B25032_013,7920
2012,10451,B25032_013,15175
2013,10451,B25032_013,15518
2014,10451,B25032_013,15531
2015,10451,B25032_013,15832
2016,10451,B25032_013,16160
2017,10451,B25032_013,16278
2018,10451,B25032_013,16635
2019,10451,B25032_013,17406
2020,10451,B25032_013,17686
2021,10451,B25032_013,17562
2012,10452,B25032_013,23871
2013,10452,B25032_013,23909
2014,10452,B25032_013,24292
2015,10452,B25032_013,24586
2016,10452,B25032_013,24986
2017,10452,B25032_013,25166
2018,10452,B25032_013,25424
2019,10452,B25032_013,25649
2020,10452,B25032_013,26281
2021,10452,B25032_013,27181
2012,10453,B25032_013,24112
2013,10453,B25032_013,24533
2014,10453,B25032_013,25089
2015,10453,B25032_013,25859
2016,10453,B25032_013,26341
2017,10453,B25032_013,26257
2018,10453,B25032_013,26294
2019,10453,B25032_013,26700
2020,10453,B25032_013,26103
2021,10453,B25032_013,26479
2012,10454,B25032_013,11775
2013,10454,B25032_013,11836
2014,10454,B25032_013,11840
2015,10454,B25032_013,12094
2016,10454,B25032_013,12106
2017,10454,B25032_013,12358
2018,10454,B25032_013,12480
2019,10454,B25032_013,12585
2020,10454,B25032_013,12890
2021,10454,B25032_013,13602
2012,10455,B25032_013,11857
2013,10455,B25032_013,12200
2014,10455,B25032_013,12526
2015,10455,B25032_013,12991
2016,10455,B25032_013,13152
2017,10455,B25032_013,13176
2018,10455,B25032_013,13201
2019,10455,B25032_013,13246
2020,10455,B25032_013,13498
2021,10455,B25032_013,14247
2012,10456,B25032_013,26490
2013,10456,B25032_013,26608
2014,10456,B25032_013,27386
2015,10456,B25032_013,27475
2016,10456,B25032_013,27999
2017,10456,B25032_013,28254
2018,10456,B25032_013,29018
2019,10456,B25032_013,29133
2020,10456,B25032_013,29826
2021,10456,B25032_013,29930
2012,10457,B25032_013,20703
2013,10457,B25032_013,21144
2014,10457,B25032_013,21400
2015,10457,B25032_013,22195
2016,10457,B25032_013,22506
2017,10457,B25032_013,22753
2018,10457,B25032_013,23196
2019,10457,B25032_013,23300
2020,10457,B25032_013,22744
2021,10457,B25032_013,24122
2012,10458,B25032_013,24148
2013,10458,B25032_013,24247
2014,10458,B25032_013,24754
2015,10458,B25032_013,25169
2016,10458,B25032_013,25818
2017,10458,B25032_013,26113
2018,10458,B25032_013,26222
2019,10458,B25032_013,26496
2020,10458,B25032_013,27727
2021,10458,B25032_013,28097
2012,10459,B25032_013,13819
2013,10459,B25032_013,13952
2014,10459,B25032_013,14078
2015,10459,B25032_013,14317
2016,10459,B25032_013,14414
2017,10459,B25032_013,14421
2018,10459,B25032_013,14507
2019,10459,B25032_013,14917
2020,10459,B25032_013,14957
2021,10459,B25032_013,15327
2012,10460,B25032_013,17439
2013,10460,B25032_013,17409
2014,10460,B25032_013,17825
2015,10460,B25032_013,17882
2016,10460,B25032_013,17948
2017,10460,B25032_013,18197
2018,10460,B25032_013,18288
2019,10460,B25032_013,18520
2020,10460,B25032_013,18157
2021,10460,B25032_013,19172
2012,10461,B25032_013,13040
2013,10461,B25032_013,12971
2014,10461,B25032_013,13361
2015,10461,B25032_013,13413
2016,10461,B25032_013,13064
2017,10461,B25032_013,12710
2018,10461,B25032_013,12765
2019,10461,B25032_013,12530
2020,10461,B25032_013,12716
2021,10461,B25032_013,12651
2012,10462,B25032_013,22126
2013,10462,B25032_013,22753
2014,10462,B25032_013,22596
2015,10462,B25032_013,22860
2016,10462,B25032_013,22841
2017,10462,B25032_013,22871
2018,10462,B25032_013,22943
2019,10462,B25032_013,22979
2020,10462,B25032_013,22291
2021,10462,B25032_013,23206
2012,10463,B25032_013,19203
2013,10463,B25032_013,18794
2014,10463,B25032_013,19219
2015,10463,B25032_013,19004
2016,10463,B25032_013,18966
2017,10463,B25032_013,19397
2018,10463,B25032_013,19463
2019,10463,B25032_013,19721
2020,10463,B25032_013,20039
2021,10463,B25032_013,20255
2012,10464,B25032_013,928
2013,10464,B25032_013,974
2014,10464,B25032_013,928
2015,10464,B25032_013,750
2016,10464,B25032_013,688
2017,10464,B25032_013,743
2018,10464,B25032_013,645
2019,10464,B25032_013,725
2020,10464,B25032_013,720
2021,10464,B25032_013,645
2012,10465,B25032_013,7045
2013,10465,B25032_013,7118
2014,10465,B25032_013,7351
2015,10465,B25032_013,6853
2016,10465,B25032_013,6949
2017,10465,B25032_013,6804
2018,10465,B25032_013,6990
2019,10465,B25032_013,6915
2020,10465,B25032_013,7425
2021,10465,B25032_013,7064
2012,10466,B25032_013,13809
2013,10466,B25032_013,13890
2014,10466,B25032_013,14097
2015,10466,B25032_013,14298
2016,10466,B25032_013,14299
2017,10466,B25032_013,14104
2018,10466,B25032_013,14513
2019,10466,B25032_013,14656
2020,10466,B25032_013,15264
2021,10466,B25032_013,15073
2012,10467,B25032_013,30252
2013,10467,B25032_013,30496
2014,10467,B25032_013,30842
2015,10467,B25032_013,31206
2016,10467,B25032_013,31572
2017,10467,B25032_013,31484
2018,10467,B25032_013,31721
2019,10467,B25032_013,31901
2020,10467,B25032_013,32458
