TRACT,ZIP,RES_RATIO,IMPACTED
36005000200,10473,1,FALSE
36005000400,10473,1,FALSE
36005001600,10473,1,FALSE
36005001900,10454,1,FALSE
36005002000,10473,1,FALSE
36005002300,10454,1,FALSE
36005002500,10454,1,FALSE
36005002701,10454,1,FALSE
36005002702,10454,1,FALSE
36005002800,10473,1,FALSE
36005003100,10455,1,FALSE
36005003300,10454,1,FALSE
36005003500,10455,0.968658892128279,FALSE
36005003700,10455,1,FALSE
36005003800,10473,1,FALSE
36005003900,10454,1,FALSE
36005004001,10472,1,FALSE
36005004100,10454,1,FALSE
36005004200,10473,1,FALSE
36005004300,10455,0.719829424307036,FALSE
36005004400,10472,1,FALSE
36005004600,10473,1,FALSE
36005004800,10472,1,FALSE
36005005001,10472,1,FALSE
36005005002,10472,1,FALSE
36005005100,10451,0.999501743896362,FALSE
36005005200,10472,1,FALSE
36005005300,10453,1,FALSE
36005005400,10472,1,FALSE
36005005600,10472,1,FALSE
36005005902,10451,1,FALSE
36005006000,10460,1,FALSE
36005006100,10451,1,FALSE
36005006200,10472,1,FALSE
36005006300,10451,0.975630611372381,FALSE
36005006400,10472,1,FALSE
36005006500,10451,0.964230171073094,FALSE
36005006700,10455,0.513523956723338,FALSE
36005006800,10472,1,FALSE
36005006900,10451,0.859520123839009,FALSE
36005007000,10472,1,FALSE
36005007100,10455,0.757319819819819,FALSE
36005007200,10472,1,FALSE
36005007300,10455,1,FALSE
36005007400,10473,1,FALSE
36005007500,10455,0.583958909521928,FALSE
36005007600,10472,1,FALSE
36005007700,10456,0.78,FALSE
36005007800,10472,1,FALSE
36005007900,10455,1,FALSE
36005008300,10455,1,FALSE
36005008400,10473,1,FALSE
36005008500,10455,0.913793103448275,FALSE
36005008600,10473,1,FALSE
36005008700,10459,1,FALSE
36005008900,10459,1,FALSE
36005009000,10473,0.931423611111111,FALSE
36005009200,10462,1,FALSE
36005009300,10474,1,FALSE
36005009600,10462,0.753993610223642,TRUE
36005009800,10473,1,FALSE
36005011000,10465,1,FALSE
36005011502,10474,1,FALSE
36005011700,10474,1,FALSE
36005011800,10465,1,FALSE
36005011900,10459,1,FALSE
36005012101,10459,1,FALSE
36005012102,10459,1,FALSE
36005012300,10459,0.9449081803005,FALSE
36005012500,10459,1,FALSE
36005012701,10459,1,FALSE
36005012901,10459,1,FALSE
36005013000,10465,1,FALSE
36005013100,10459,0.959114139693356,FALSE
36005013200,10465,1,FALSE
36005013300,10456,0.844903339191564,FALSE
36005013500,10456,0.889180327868852,FALSE
36005013800,10465,1,FALSE
36005014100,10451,0.969662058371735,FALSE
36005014300,10456,0.835051546391752,FALSE
36005014400,10465,1,FALSE
36005014500,10456,1,FALSE
36005014701,10456,1,FALSE
36005014702,10456,0.946448087431693,TRUE
36005014900,10456,1,FALSE
36005015100,10456,0.556365675827257,FALSE
36005015200,10465,1,FALSE
36005015300,10459,0.646706586826347,FALSE
36005015500,10460,1,FALSE
36005015700,10460,1,FALSE
36005015800,10465,1,FALSE
36005015900,10459,1,FALSE
36005016000,10465,1,FALSE
36005016100,10460,1,FALSE
36005016200,10465,1,FALSE
36005016300,10457,0,FALSE
36005016400,10465,1,FALSE
36005016500,10457,1,FALSE
36005016600,10465,1,FALSE
36005016700,10457,1,FALSE
36005016900,10457,0.645528455284552,TRUE
36005017100,10457,1,FALSE
36005017300,10451,0.760642919200695,FALSE
36005017500,10456,1,FALSE
36005017701,10456,1,FALSE
36005017702,10456,1,FALSE
36005017901,10456,1,FALSE
36005017902,10456,1,FALSE
36005018101,10456,1,FALSE
36005018102,10456,1,FALSE
36005018301,10451,0.712225705329153,FALSE
36005018302,10456,0.79922480620155,FALSE
36005018400,10461,1,FALSE
36005018500,10456,1,FALSE
36005018900,10452,1,FALSE
36005019300,10452,1,FALSE
36005019400,10461,0.755267423014586,FALSE
36005019500,10452,1,FALSE
36005019700,10452,1,FALSE
36005019900,10452,1,FALSE
36005020000,10461,1,FALSE
36005020100,10452,1,FALSE
36005020200,10461,0.637268847795163,TRUE
36005020400,10461,0.739795918367346,TRUE
36005020501,10453,1,FALSE
36005020502,10453,1,FALSE
36005020601,10462,1,FALSE
36005020900,10452,1,FALSE
36005021001,10462,1,FALSE
36005021002,10462,1,FALSE
36005021100,10452,1,FALSE
36005021200,10462,1,FALSE
36005021301,10452,1,FALSE
36005021302,10452,1,FALSE
36005021501,10453,1,FALSE
36005021502,10453,0.914012738853503,FALSE
36005021601,10460,0.776710005652911,TRUE
36005021602,10462,1,TRUE
36005021700,10453,0.851075268817204,FALSE
36005021800,10460,1,FALSE
36005021900,10452,1,FALSE
36005022000,10460,0.665584415584415,TRUE
36005022101,10452,1,FALSE
36005022102,10452,1,FALSE
36005022200,10462,1,FALSE
36005022300,10452,1,FALSE
36005022401,10462,1,FALSE
36005022403,10462,1,FALSE
36005022404,10462,1,FALSE
36005022500,10457,0.751362683438155,TRUE
36005022701,10453,1,FALSE
36005022702,10452,1,FALSE
36005022703,10457,1,FALSE
36005022800,10462,1,FALSE
36005022901,10457,1,FALSE
36005022902,10457,1,FALSE
36005023000,10462,1,FALSE
36005023100,10457,1,FALSE
36005023200,10462,1,FALSE
36005023301,10453,1,FALSE
36005023302,10457,1,FALSE
36005023501,10453,1,FALSE
36005023502,10457,1,FALSE
36005023600,10462,0.806509945750452,TRUE
36005023702,10458,1,FALSE
36005023703,10468,0.999352331606217,TRUE
36005023704,10453,1,FALSE
36005023800,10462,1,FALSE
36005023900,10468,0.515828677839851,TRUE
36005024000,10460,0.966369930761622,TRUE
36005024100,10453,1,FALSE
36005024300,10453,1,FALSE
36005024400,10462,1,FALSE
36005024501,10453,1,FALSE
36005024502,10453,1,FALSE
36005024600,10462,1,FALSE
36005024700,10453,1,FALSE
36005024800,10461,0.680733944954128,TRUE
36005024900,10453,0,FALSE
36005025000,10461,0.772455089820359,TRUE
36005025100,10453,1,FALSE
36005025200,10462,0.853691275167785,TRUE
36005025300,10468,0.990445859872611,TRUE
36005025400,10461,1,FALSE
36005025500,10468,0.711880261927034,TRUE
36005025600,10461,0.992994746059544,TRUE
36005025700,10468,1,FALSE
36005026100,10468,1,FALSE
36005026300,10468,1,FALSE
36005026400,10461,1,FALSE
36005026500,10468,1,FALSE
36005026601,10461,1,FALSE
36005026602,10461,1,FALSE
36005026701,10468,1,FALSE
36005026702,10468,1,FALSE
36005026900,10463,0.694483734087694,TRUE
36005027300,10463,0.698588325066768,TRUE
36005027401,10465,1,FALSE
36005027402,10465,1,FALSE
36005027700,10463,1,FALSE
36005027900,10463,1,FALSE
36005028100,10463,1,FALSE
36005028300,10463,1,FALSE
36005028400,10461,1,FALSE
36005028500,10463,0.848974518334369,FALSE
36005028600,10461,1,FALSE
36005028700,10463,1,FALSE
36005028800,10461,1,FALSE
36005028900,10463,1,FALSE
36005029301,10463,1,FALSE
36005029302,10463,1,FALSE
36005029500,10463,1,FALSE
36005029600,10461,1,FALSE
36005029700,10463,1,FALSE
36005030000,10461,1,FALSE
36005030100,10463,1,FALSE
36005030200,10475,1,FALSE
36005030701,10471,0.576934568270092,FALSE
36005030900,10463,0.637672465506898,FALSE
36005031000,10469,1,FALSE
36005031200,10469,1,FALSE
36005031400,10469,1,FALSE
36005031600,10469,1,FALSE
36005031800,10469,1,FALSE
36005031900,10471,1,FALSE
36005032300,10471,1,FALSE
36005032400,10469,1,FALSE
36005032600,10469,1,FALSE
36005032800,10467,0.857523302263648,TRUE
36005033000,10467,1,FALSE
36005033201,10467,1,FALSE
36005033202,10467,1,FALSE
36005033400,10467,0.75,TRUE
36005033500,10463,0.685573366214549,FALSE
36005033600,10467,1,FALSE
36005033700,10471,1,FALSE
36005033800,10467,1,FALSE
36005034000,10467,0.948979591836734,TRUE
36005034200,10469,1,FALSE
36005034300,10471,1,FALSE
36005034400,10469,1,FALSE
36005034500,10471,1,FALSE
36005034800,10469,1,FALSE
36005035000,10469,1,FALSE
36005035100,10471,1,FALSE
36005035600,10469,1,FALSE
36005035800,10469,1,FALSE
36005035900,10460,1,FALSE
36005036000,10469,1,FALSE
36005036100,10460,1,FALSE
36005036300,10460,1,FALSE
36005036400,10469,1,FALSE
36005036501,10460,1,TRUE
36005036502,10460,0.917861799217731,TRUE
36005036700,10460,0.97391304347826,TRUE
36005036800,10469,1,FALSE
36005036901,10457,1,FALSE
36005036902,10457,1,FALSE
36005037000,10469,1,FALSE
36005037100,10457,0.912727272727272,TRUE
36005037200,10467,0.979367262723521,TRUE
36005037300,10457,1,FALSE
36005037400,10467,1,FALSE
36005037504,10457,1,FALSE
36005037600,10467,1,FALSE
36005037800,10467,1,FALSE
36005037900,10457,1,FALSE
36005038000,10467,0.958194598594154,TRUE
36005038100,10457,1,FALSE
36005038200,10469,1,FALSE
36005038301,10458,0.660936573799644,TRUE
36005038302,10458,0.717008099094807,TRUE
36005038500,10458,0.654266958424507,TRUE
36005038600,10469,0.828332700341815,FALSE
36005038700,10458,1,FALSE
36005038800,10469,1,FALSE
36005038900,10458,1,FALSE
36005039000,10467,0.950226244343891,TRUE
36005039100,10458,0.819801980198019,TRUE
36005039200,10467,1,FALSE
36005039300,10458,0.467834491090305,TRUE
36005039400,10466,0.57037037037037,TRUE
36005039500,10457,1,FALSE
36005039600,10467,0.66077441077441,TRUE
36005039700,10458,1,FALSE
36005039800,10469,0.640102827763496,FALSE
36005039901,10458,1,FALSE
36005039902,10458,1,FALSE
36005040100,10468,1,FALSE
36005040302,10458,1,FALSE
36005040303,10468,1,FALSE
36005040304,10468,1,FALSE
36005040400,10466,1,FALSE
36005040501,10458,1,FALSE
36005040502,10458,1,FALSE
36005040600,10466,1,FALSE
36005040701,10468,1,FALSE
36005040702,10458,1,FALSE
36005040800,10466,1,FALSE
36005040900,10468,0.862676056338028,TRUE
36005041100,10468,1,FALSE
36005041300,10458,1,FALSE
36005041400,10470,1,FALSE
36005041500,10458,1,FALSE
36005041800,10466,0.887915936952714,FALSE
36005041900,10467,1,FALSE
36005042000,10466,1,FALSE
36005042100,10467,1,FALSE
36005042200,10466,1,FALSE
36005042300,10467,1,FALSE
36005042400,10466,1,FALSE
36005042500,10467,0.92527386541471,TRUE
36005042600,10466,1,FALSE
36005042800,10466,1,FALSE
36005042901,10467,1,FALSE
36005042902,10467,1,FALSE
36005043000,10466,1,FALSE
36005043100,10467,1,FALSE
36005043400,10466,0.942497753818508,FALSE
36005043500,10705,0.53103448275862,TRUE
36005043600,10466,1,FALSE
36005044200,10470,0.713493530499075,FALSE
36005044400,10466,1,FALSE
36005044800,10466,1,FALSE
36005044901,10470,1,FALSE
36005044902,10470,1,FALSE
36005045101,10470,1,FALSE
36005045102,10470,1,FALSE
36005045600,10466,0.680196801968019,FALSE
36005045800,10466,1,FALSE
36005046000,10466,0.976485148514851,FALSE
36005046201,10475,1,FALSE
36005046202,10475,0.644751587598057,FALSE
36005048400,10466,1,FALSE
36005050400,10464,1,FALSE
36005051600,10464,1,FALSE
36047000100,11201,1,FALSE
36047000200,11220,0.574912891986062,FALSE
36047000301,11201,1,FALSE
36047000501,11201,1,FALSE
36047000502,11201,1,FALSE
36047000700,11201,1,FALSE
36047000900,11201,1,FALSE
36047001100,11201,1,FALSE
36047001300,11202,0.80392156862745,FALSE
36047001500,11201,1,FALSE
36047001800,11232,0.961805555555555,FALSE
36047002000,11220,0.957957957957957,FALSE
36047002100,11201,1,FALSE
36047002200,11220,1,FALSE
36047002300,11201,1,FALSE
36047002901,11205,1,FALSE
36047003000,11220,1,FALSE
36047003100,11201,0.901694915254237,FALSE
36047003300,11217,0.728776978417266,FALSE
36047003400,11209,0.631007751937984,FALSE
36047003500,11217,0.775212636695018,FALSE
36047003600,11209,0.984894259818731,FALSE
36047003700,11201,0.904150197628458,FALSE
36047003800,11209,1,FALSE
36047003900,11217,1,FALSE
36047004100,11217,0.873824451410658,FALSE
36047004300,11201,0.98170731707317,FALSE
36047004400,11209,1,FALSE
36047004500,11201,0.963314358001265,FALSE
36047004600,11209,1,FALSE
36047004700,11231,0.533265097236438,FALSE
36047004900,11201,0.600716204118173,FALSE
36047005000,11209,1,FALSE
36047005100,11231,1,FALSE
36047005201,11209,1,FALSE
36047005202,11209,1,FALSE
36047005300,11231,1,FALSE
36047005400,11209,1,FALSE
36047005601,11209,1,FALSE
36047005602,11209,1,FALSE
36047005800,11209,1,FALSE
36047005900,11231,1,FALSE
36047006000,11209,1,FALSE
36047006200,11209,1,FALSE
36047006300,11231,1,FALSE
36047006400,11209,1,FALSE
36047006500,11231,1,FALSE
36047006600,11209,1,FALSE
36047006700,11231,1,FALSE
36047006800,11209,0.600830367734282,FALSE
36047006900,11201,0.72429600523903,FALSE
36047007000,11220,1,FALSE
36047007100,11217,1,FALSE
36047007200,11220,1,FALSE
36047007400,11220,1,FALSE
36047007500,11231,0.890506697728596,FALSE
36047007600,11220,1,FALSE
36047007700,11231,1,FALSE
36047007800,11220,1,FALSE
36047008000,11220,1,FALSE
36047008200,11232,0.804251550044286,FALSE
36047008400,11232,1,FALSE
36047008500,11231,1,FALSE
36047008800,11232,1,FALSE
36047009000,11232,1,FALSE
36047009200,11232,0.880056777856635,FALSE
36047009400,11220,1,FALSE
36047009600,11220,1,FALSE
36047009800,11220,1,FALSE
36047010000,11220,1,FALSE
36047010100,11232,1,FALSE
36047010200,11220,1,FALSE
36047010400,11220,1,FALSE
36047010600,11220,1,FALSE
36047010800,11220,1,FALSE
36047011000,11219,0.925,FALSE
36047011200,11219,0.964444444444444,FALSE
36047011400,11219,0.978176149649259,FALSE
36047011600,11219,0.890855457227138,FALSE
36047011700,11215,1,FALSE
36047011800,11220,0.993103448275862,FALSE
36047011900,11215,0.919330289193302,FALSE
36047012000,11219,0.535564853556485,FALSE
36047012100,11215,1,FALSE
36047012200,11220,1,FALSE
36047012600,11220,1,FALSE
36047012700,11217,1,FALSE
36047012801,11220,0.976859504132231,FALSE
36047012901,11217,1,FALSE
36047012902,11217,1,FALSE
36047013000,11209,0.746012994683992,FALSE
36047013100,11217,0.853945818610129,FALSE
36047013200,11228,0.822429906542056,FALSE
36047013300,11215,1,FALSE
36047013400,11209,0.97875955819881,FALSE
36047013500,11215,1,FALSE
36047013600,11209,1,FALSE
36047013700,11215,1,FALSE
36047013800,11209,1,FALSE
36047013900,11215,1,FALSE
36047014000,11228,1,FALSE
36047014100,11215,1,FALSE
36047014200,11209,1,FALSE
36047014300,11215,0.766536964980544,FALSE
36047014500,11232,0.652281134401972,FALSE
36047014700,11215,1,FALSE
36047014800,11228,1,FALSE
36047014900,11215,1,FALSE
36047015000,11228,1,FALSE
36047015100,11215,1,FALSE
36047015200,11228,0.711267605633802,FALSE
36047015300,11215,1,FALSE
36047015400,11228,1,FALSE
36047015500,11215,1,FALSE
36047015700,11215,1,FALSE
36047015900,11217,0.707861060329067,FALSE
36047016000,11209,1,FALSE
36047016100,11217,0.937544867193108,FALSE
36047016200,11209,1,FALSE
36047016300,11238,1,FALSE
36047016400,11209,0.948170731707317,FALSE
36047016500,11215,1,FALSE
36047016600,11228,1,FALSE
36047016700,11215,1,FALSE
36047016800,11228,0.935599284436493,FALSE
36047016900,11215,1,FALSE
36047017000,11228,1,FALSE
36047017100,11218,0.562899786780383,FALSE
36047017200,11228,0.856972586412395,FALSE
36047017400,11214,1,FALSE
36047017500,11215,0.758620689655172,FALSE
36047017600,11214,1,FALSE
36047017700,11225,1,TRUE
36047017800,11214,1,FALSE
36047017900,11238,0.812704649639816,FALSE
36047018000,11214,1,FALSE
36047018100,11217,0.466081015129331,FALSE
36047018200,11214,1,FALSE
36047018300,11205,1,FALSE
36047018400,11228,0.963455149501661,FALSE
36047018501,11205,1,FALSE
36047018600,11228,0.879541108986615,FALSE
36047018700,11205,1,FALSE
36047018800,11228,0.903129657228017,FALSE
36047019000,11219,0.541694915254237,FALSE
36047019100,11205,1,FALSE
36047019200,11219,1,FALSE
36047019300,11205,0.853309481216457,FALSE
36047019400,11219,1,FALSE
36047019500,11205,1,FALSE
36047019600,11219,0.606923076923076,FALSE
36047019700,11238,0.594493116395494,FALSE
36047019800,11228,1,FALSE
36047019900,11238,1,FALSE
36047020000,11228,1,FALSE
36047020100,11238,1,FALSE
36047020200,11228,1,FALSE
36047020300,11238,1,FALSE
36047020400,11228,1,FALSE
36047020500,11238,1,FALSE
36047020600,11228,1,FALSE
36047020700,11238,1,FALSE
36047020800,11228,0.891891891891891,FALSE
36047021000,11219,1,FALSE
36047021100,11205,1,FALSE
36047021200,11219,1,FALSE
36047021300,11225,1,FALSE
36047021400,11219,1,FALSE
36047021500,11238,1,FALSE
36047021600,11219,1,FALSE
36047021700,11238,1,FALSE
36047021800,11219,1,FALSE
36047021900,11216,0.919011667810569,TRUE
36047022000,11219,1,FALSE
36047022100,11216,0.890835579514824,TRUE
36047022200,11219,1,FALSE
36047022400,11219,0.692942942942942,FALSE
36047022600,11218,1,FALSE
36047022700,11238,0.695402298850574,TRUE
36047022800,11218,1,FALSE
36047022900,11238,0.606589147286821,TRUE
36047023000,11218,0.655080213903743,FALSE
36047023100,11238,1,FALSE
36047023200,11219,0.934725848563968,FALSE
36047023300,11238,0.494547178757705,TRUE
36047023400,11219,0.997492163009404,FALSE
36047023500,11205,1,FALSE
36047023600,11219,0.998153846153846,FALSE
36047023800,11219,0.979970326409495,FALSE
36047024000,11219,0.993980436418359,FALSE
36047024100,11205,1,FALSE
36047024200,11219,0.650067294751009,FALSE
36047024300,11216,0.906474820143884,TRUE
36047024400,11204,1,FALSE
36047024500,11216,1,FALSE
36047024600,11204,1,FALSE
36047024700,11247,0.693992490613266,TRUE
36047024800,11204,1,FALSE
36047024900,11216,1,FALSE
36047025000,11219,0.899159663865546,FALSE
36047025100,11216,1,FALSE
36047025200,11204,1,FALSE
36047025300,11206,0.93103448275862,TRUE
36047025400,11204,1,FALSE
36047025500,11206,1,FALSE
36047025600,11204,1,FALSE
36047025700,11206,1,FALSE
36047025800,11204,1,FALSE
36047025901,11206,1,FALSE
36047025902,11206,1,FALSE
36047026000,11204,1,FALSE
36047026100,11206,0.568030973451327,TRUE
36047026200,11204,0.664670658682634,FALSE
36047026300,11216,0.559440559440559,FALSE
36047026400,11204,0.640689655172413,FALSE
36047026500,11221,0.54572055596196,FALSE
36047026600,11204,1,FALSE
36047026700,11216,0.659603554340396,FALSE
36047026800,11204,0.845070422535211,FALSE
36047026900,11216,1,FALSE
36047027000,11214,1,FALSE
36047027100,11213,0.823293172690763,TRUE
36047027200,11214,1,FALSE
36047027300,11213,0.392405063291139,TRUE
36047027400,11214,0.83893395133256,FALSE
36047027500,11221,0.416666666666666,TRUE
36047027600,11214,1,FALSE
36047027700,11221,1,FALSE
36047027800,11214,1,FALSE
36047027900,11221,1,FALSE
36047028000,11214,1,FALSE
36047028100,11221,0.66891064871481,TRUE
36047028200,11214,1,FALSE
36047028300,11206,1,FALSE
36047028400,11214,1,FALSE
36047028501,11206,1,FALSE
36047028502,11206,1,FALSE
36047028600,11214,1,FALSE
36047028700,11206,0.599240265906932,TRUE
36047028800,11214,1,FALSE
36047028900,11221,0.870503597122302,TRUE
36047029000,11214,1,FALSE
36047029100,11221,1,FALSE
36047029200,11214,1,FALSE
36047029300,11221,1,FALSE
36047029400,11214,1,FALSE
36047029500,11233,0.615853658536585,TRUE
36047029600,11214,1,FALSE
36047029700,11233,1,FALSE
36047029800,11214,0.983700081499592,FALSE
36047029900,11233,1,FALSE
36047030000,11214,0.997800586510263,FALSE
36047030100,11233,1,FALSE
36047030200,11214,1,FALSE
36047030300,11233,1,FALSE
36047030400,11214,1,FALSE
36047030500,11238,1,FALSE
36047030600,11214,0.985049833887043,FALSE
36047030700,11233,0.928126497364638,FALSE
36047030800,11214,0.904953145917001,FALSE
36047030900,11213,1,FALSE
36047031100,11213,1,FALSE
36047031300,11216,0.570649479424888,TRUE
36047031400,11214,1,FALSE
36047031500,11216,1,FALSE
36047031701,11216,1,FALSE
36047031702,11216,0.993487698986975,TRUE
36047031900,11225,0.929140127388535,TRUE
36047032100,11225,1,FALSE
36047032300,11225,1,FALSE
36047032500,11225,1,FALSE
36047032600,11224,1,FALSE
36047032700,11225,1,FALSE
36047032800,11224,1,FALSE
36047032900,11225,1,FALSE
36047033000,11224,1,FALSE
36047033100,11213,0.573632538569424,TRUE
36047033300,11213,0.801067073170731,TRUE
36047033500,11213,1,FALSE
36047033600,11224,1,FALSE
36047033700,11213,0.986728599867285,TRUE
36047033900,11213,0.977664029781293,TRUE
36047034000,11224,1,FALSE
36047034100,11213,0.963809523809523,TRUE
36047034200,11224,1,FALSE
36047034300,11213,1,FALSE
36047034500,11213,1,FALSE
36047034700,11213,1,FALSE
36047034800,11224,0.952453987730061,FALSE
36047034900,11213,1,FALSE
36047035000,11224,1,FALSE
36047035100,11213,1,FALSE
36047035200,11224,1,FALSE
36047035300,11213,1,FALSE
36047035400,11224,1,FALSE
36047035500,11213,0.999055712936732,FALSE
36047035601,11224,0.666237113402061,FALSE
36047035602,11224,0.684799032940465,FALSE
36047035700,11213,1,FALSE
36047035900,11233,0.91180176396472,FALSE
36047036001,11235,1,FALSE
36047036002,11235,1,FALSE
36047036100,11233,0.870762711864406,FALSE
36047036200,11235,1,FALSE
36047036300,11233,0.974729241877256,FALSE
36047036400,11235,1,FALSE
36047036501,11233,1,FALSE
36047036502,11233,0.944844124700239,FALSE
36047036600,11235,1,FALSE
36047036700,11233,0.979274611398963,FALSE
36047036900,11233,0.984919396775871,FALSE
36047037000,11235,1,FALSE
36047037100,11233,1,FALSE
36047037300,11233,0.991379310344827,TRUE
36047037401,11223,0.709641873278236,FALSE
36047037402,11223,1,FALSE
36047037500,11221,0.888157894736842,TRUE
36047037700,11233,1,FALSE
36047037900,11233,1,FALSE
36047038100,11233,1,FALSE
36047038200,11223,1,FALSE
36047038300,11233,0.827799227799227,TRUE
36047038500,11221,1,FALSE
36047038600,11223,1,FALSE
36047038700,11221,1,FALSE
36047038800,11223,1,FALSE
36047038900,11206,0.998930481283422,TRUE
36047039000,11223,0.891369047619047,FALSE
36047039100,11206,0.828598484848484,TRUE
36047039200,11223,1,FALSE
36047039300,11221,1,FALSE
36047039400,11223,1,FALSE
36047039500,11221,1,FALSE
36047039600,11223,1,FALSE
36047039700,11221,1,FALSE
36047039800,11223,1,FALSE
36047039900,11221,1,FALSE
36047040000,11223,1,FALSE
36047040100,11207,0.923001949317738,TRUE
36047040200,11223,1,FALSE
36047040300,11207,1,FALSE
36047040400,11223,0.96602658788774,FALSE
36047040500,11207,1,FALSE
36047040600,11223,1,FALSE
36047040700,11207,0,FALSE
36047040800,11223,1,FALSE
36047040900,11237,0.508520179372197,FALSE
36047041000,11223,1,FALSE
36047041100,11207,1,FALSE
36047041200,11223,1,FALSE
36047041300,11207,0.704934541792547,TRUE
36047041401,11223,1,FALSE
36047041402,11223,1,FALSE
36047041500,11221,1,FALSE
36047041600,11223,1,FALSE
36047041700,11221,1,FALSE
36047041800,11223,1,FALSE
36047041900,11221,0.967798085291557,TRUE
36047042000,11223,0.694690265486725,FALSE
36047042100,11221,0.927332782824112,TRUE
36047042200,11223,1,FALSE
36047042300,11221,0.78088578088578,TRUE
36047042400,11223,0.938775510204081,FALSE
36047042500,11206,0.829150579150579,FALSE
36047042600,11223,0.945905334335086,FALSE
36047042700,11237,1,FALSE
36047042800,11223,0.615751789976133,FALSE
36047042900,11237,1,FALSE
36047043000,11204,1,FALSE
36047043100,11237,1,FALSE
36047043200,11204,1,FALSE
36047043300,11237,0.75343573160873,TRUE
36047043400,11204,1,FALSE
36047043500,11221,0.703306523681858,TRUE
36047043600,11204,1,FALSE
36047043700,11237,0.593461265103056,TRUE
36047043800,11230,0.835198372329603,FALSE
36047043900,11237,1,FALSE
36047044000,11230,0.887470997679814,FALSE
36047044100,11237,1,FALSE
36047044200,11230,0.979772439949431,FALSE
36047044300,11237,1,FALSE
36047044400,11230,1,FALSE
36047044500,11237,1,FALSE
36047044600,11204,0.762589928057553,FALSE
36047044700,11237,1,FALSE
36047044800,11230,0.995145631067961,FALSE
36047044900,11211,0.532786885245901,FALSE
36047045000,11230,1,FALSE
36047045200,11230,1,FALSE
36047045300,11237,0.920253164556962,FALSE
36047045400,11230,1,FALSE
36047045600,11230,1,FALSE
36047045800,11230,1,FALSE
36047046000,11230,1,FALSE
36047046201,11230,1,FALSE
36047046202,11230,0.929752066115702,FALSE
36047046400,11204,1,FALSE
36047046800,11204,1,FALSE
36047047000,11204,1,FALSE
36047047200,11204,1,FALSE
36047047400,11204,1,FALSE
